"","ï..Sample","Rep","Set","mAU","short_name_antho","Extract_ini_vol","Extract_final_vol","Skin_weight_aft","Berry_weight","Berry_numb","dilution_factor","concetration_mg_l","antho_mg_berry","antho_mg_g_berry_weight","antho_mg_g_Skin","Block_id","treatment","main_antho","hydroxylation","total_antho_mg_berry"
"85","B1R3",1,"1st point",28.504,"C3G",34,52.5,4.94,42,60,1.54411764705882,10.3905346471983,0.00588796963341237,0.0084113851905891,0.0715138012155348,"B1R3",1,"Cyanidins","dihydroxylated",0.222910582710195
"86","B1R3",2,"1st point",22.951,"C3G",34,53,5.25,42,60,1.55882352941176,8.91076750598105,0.00504943492005593,0.00721347845722276,0.0577078276577821,"B1R3",1,"Cyanidins","dihydroxylated",0.191150143473767
"87","B1R3",3,"1st point",21.76,"C3G",34,54.5,5.1,42.3,60,1.60294117647059,8.81477320273359,0.0049950381482157,0.00708516049392298,0.0587651546848906,"B1R3",1,"Cyanidins","dihydroxylated",0.200134410298498
"88","B1R4",1,"1st point",30.344,"C3G",36,51.5,5.8,44.8,60,1.43055555555556,10.10643276187,0.00606385965712201,0.00812124061221698,0.0627295826598829,"B1R4",1,"Cyanidins","dihydroxylated",0.212884262265183
"89","B1R4",2,"1st point",32.36,"C3G",36,50,5.66,44.7,60,1.38888888888889,10.3227399841936,0.00619364399051614,0.00831361609465254,0.0656570034330333,"B1R4",1,"Cyanidins","dihydroxylated",0.218161955134051
"90","B1R4",3,"1st point",23.536,"C3G",36,54,6.27,45,60,1.5,8.73455225241656,0.00524073135144994,0.00698764180193325,0.0501505392483248,"B1R4",1,"Cyanidins","dihydroxylated",0.183368294729163
"91","B2R1",1,"1st point",21.08,"C3G",50,50,6.32,54.9,60,1,5.37510486959694,0.00447925405799745,0.00489535962622672,0.0425245638417479,"B2R1",2,"Cyanidins","dihydroxylated",0.208679311812268
"92","B2R1",2,"1st point",17.186,"C3G",50,53,5.99,54.9,60,1.06,4.94480430421302,0.00412067025351085,0.00450346475793536,0.0412754950268199,"B2R1",2,"Cyanidins","dihydroxylated",0.219219779925831
"93","B2R1",3,"1st point",21.069,"C3G",50,52,5.92,55.1,60,1.04,5.58802261535656,0.00465668551279713,0.00507080092137619,0.047196136954025,"B2R1",2,"Cyanidins","dihydroxylated",0.231937798042434
"94","B2R2",1,"1st point",48.228,"C3G",54,52.5,6.6,59.6,60,0.972222222222222,10.0395642085638,0.00903560778770746,0.00909624945071221,0.0821418889791587,"B2R2",2,"Cyanidins","dihydroxylated",0.344712561553894
"95","B2R2",2,"1st point",41.393,"C3G",54,52,7.08,59.2,60,0.962962962962963,8.7435386143028,0.00786918475287252,0.00797552508737079,0.0666880063802756,"B2R2",2,"Cyanidins","dihydroxylated",0.31185037631467
"96","B2R2",3,"1st point",33.104,"C3G",54,54,6.92,59.3,60,1,7.56806492795915,0.00681125843516323,0.00689166114856314,0.0590571540621089,"B2R2",2,"Cyanidins","dihydroxylated",0.292348561006748
"97","B2R3",1,"1st point",20.236,"C3G",44,52,5.74,47,60,1.18181818181818,6.17047900121035,0.00452501793422093,0.00577661863943097,0.0472998390336682,"B2R3",2,"Cyanidins","dihydroxylated",0.184633572861572
"98","B2R3",2,"1st point",14.605,"C3G",44,51,5.77,47,60,1.15909090909091,4.86143824714407,0.00356505471457231,0.00455113367817742,0.0370716261480657,"B2R3",2,"Cyanidins","dihydroxylated",0.150099706365129
"99","B2R3",3,"1st point",12.738,"C3G",44,51.5,6.3,46.9,60,1.17045454545455,4.5105514151178,0.00330773770441972,0.00423164738305295,0.0315022638516164,"B2R3",2,"Cyanidins","dihydroxylated",0.135213940361116
"100","B3R1",1,"1st point",37.13,"C3G",48,57,6.38,51.9,60,1.1875,9.85902220499726,0.00788721776399781,0.009118170825431,0.0741744617303869,"B3R1",3,"Cyanidins","dihydroxylated",0.237570933795368
"101","B3R1",2,"1st point",33.198,"C3G",48,56,6.52,51.9,60,1.16666666666667,8.84941029849839,0.00707952823879871,0.00818442570959389,0.0651490328723808,"B3R1",3,"Cyanidins","dihydroxylated",0.204507138427868
"102","B3R1",3,"1st point",48.794,"C3G",48,57,5.99,51.9,60,1.1875,12.3851940087543,0.00990815520700347,0.0114545146901774,0.0992469636761616,"B3R1",3,"Cyanidins","dihydroxylated",0.279743448841875
"103","B3R2",1,"1st point",35.72,"C3G",44,56,6.03,49.4,60,1.27272727272727,10.2393149072339,0.00750883093197155,0.00912003756919621,0.0747147356415079,"B3R2",3,"Cyanidins","dihydroxylated",0.240359360447444
"104","B3R2",2,"1st point",34.286,"C3G",44,52.5,5.42,49.4,60,1.19318181818182,9.28729813638851,0.00681068530001824,0.00827208740892904,0.0753950402216041,"B3R2",3,"Cyanidins","dihydroxylated",0.211251044136422
"105","B3R2",3,"1st point",33.39,"C3G",45,54,6.38,49.7,60,1.2,9.14427138427868,0.00685820353820901,0.00827952137409538,0.0644972119580785,"B3R2",3,"Cyanidins","dihydroxylated",0.225453923034835
"106","B3R3",1,"1st point",62.718,"C3G",46,52.5,6.39,51.1,60,1.14130434782609,14.8017161741034,0.0113479824001459,0.0133244411743396,0.106553825353483,"B3R3",3,"Cyanidins","dihydroxylated",0.244461467262448
"107","B3R3",2,"1st point",56.732,"C3G",46,53.5,6.05,51.4,60,1.16304347826087,13.8139147483526,0.010590667973737,0.0123626474401599,0.105031417921359,"B3R3",3,"Cyanidins","dihydroxylated",0.237478885950514
"108","B3R3",3,"1st point",65.902,"C3G",46,54,6.25,51.3,60,1.17391304347826,15.9063183436551,0.0121948440634689,0.0142629755128291,0.117070503009301,"B3R3",3,"Cyanidins","dihydroxylated",0.271337508663141
"109","B1R2",1,"Harvest",172.709,"Pet3G",69,54.5,10.67,75.33,60,0.789855072463768,26.0885111292612,0.0300017877986504,0.0238962865779772,0.168707335325119,"B1R2",1,"Petunidins","trihydroxylated",0.646739529150708
"110","B1R2",2,"Harvest",140.688,"Pet3G",69,57,11.24,75.67,60,0.826086956521739,22.4608418114488,0.0258299680831662,0.0204810107703181,0.137882391903022,"B1R2",1,"Petunidins","trihydroxylated",0.552419438263724
"111","B1R2",3,"Harvest",171.008,"Pet3G",69,51.5,10.58,75.98,60,0.746376811594203,24.4208966053176,0.0280840310961153,0.0221774396652661,0.159266716991202,"B1R2",1,"Petunidins","trihydroxylated",0.578645878472856
"112","B1R3",1,"Harvest",170.618,"Pet3G",47,52,8.71,52.66,60,1.1063829787234,36.1213359668763,0.0282950465073865,0.0322389439886667,0.194914212450423,"B1R3",1,"Petunidins","trihydroxylated",0.417779867469147
"113","B1R3",2,"Harvest",152.129,"Pet3G",47,57,8.71,52.89,60,1.21276595744681,35.5050228753478,0.0278122679190224,0.0315510696755785,0.191588527570763,"B1R3",1,"Petunidins","trihydroxylated",0.436330408535473
