Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B2R3,1,Harvest,1272.393,M3G,52,53.5,7.54,57.23,60
B2R3,2,Harvest,1091.078,M3G,52,59,7.01,56.82,60
B2R3,3,Harvest,1122.037,M3G,52,54,7.31,57.06,60
B3R1,1,Harvest,1183.416,M3G,56,57.5,8.93,62.67,60
B3R1,2,Harvest,996.672,M3G,56,55.5,9.59,62.56,60
B3R1,3,Harvest,1062.983,M3G,56,52.5,8.9,62.95,60
B3R2,1,Harvest,1123.925,M3G,55,56.5,9.17,61.52,60
B3R2,2,Harvest,1234.375,M3G,55,52.5,9.66,61.82,60
B3R2,3,Harvest,1129.446,M3G,55,59,8.45,61.45,60
B3R3,1,Harvest,1335.950,M3G,54,54,8.69,60.68,60
B3R3,2,Harvest,1257.313,M3G,54,51,8.82,60.48,60
B3R3,3,Harvest,1173.296,M3G,54,54,8.45,60.31,60
B1R2,1,1st point,571.070,M3G,56,55.5,6.57,60.8,60
B1R2,2,1st point,520.370,M3G,56,54.5,6.69,60.8,60
B1R2,3,1st point,462.292,M3G,56,55,5.95,60.5,60
B1R3,1,1st point,429.086,M3G,34,52.5,4.94,42,60
B1R3,2,1st point,368.789,M3G,34,53,5.25,42,60
B1R3,3,1st point,387.135,M3G,34,54.5,5.1,42.3,60
B1R4,1,1st point,426.889,M3G,36,51.5,5.8,44.8,60
B1R4,2,1st point,443.561,M3G,36,50,5.66,44.7,60
B1R4,3,1st point,343.753,M3G,36,54,6.27,45,60
B2R1,1,1st point,466.326,M3G,50,50,6.32,54.9,60
B2R1,2,1st point,457.965,M3G,50,53,5.99,54.9,60
B2R1,3,1st point,493.265,M3G,50,52,5.92,55.1,60
B2R2,1,1st point,672.694,M3G,54,52.5,6.6,59.6,60
B2R2,2,1st point,625.507,M3G,54,52,7.08,59.2,60
B2R2,3,1st point,595.072,M3G,54,54,6.92,59.3,60
B2R3,1,1st point,374.558,M3G,44,52,5.74,47,60
B2R3,2,1st point,313.000,M3G,44,51,5.77,47,60
B2R3,3,1st point,281.297,M3G,44,51.5,6.3,46.9,60
B3R1,1,1st point,436.046,M3G,48,57,6.38,51.9,60
B3R1,2,1st point,383.604,M3G,48,56,6.52,51.9,60
B3R1,3,1st point,492.268,M3G,48,57,5.99,51.9,60
B3R2,1,1st point,447.242,M3G,44,56,6.03,49.4,60
B3R2,2,1st point,419.455,M3G,44,52.5,5.42,49.4,60
B3R2,3,1st point,436.918,M3G,45,54,6.38,49.7,60
B3R3,1,1st point,433.341,M3G,46,52.5,6.39,51.1,60
B3R3,2,1st point,423.041,M3G,46,53.5,6.05,51.4,60
B3R3,3,1st point,479.338,M3G,46,54,6.25,51.3,60
B1R2,1,Harvest,43.100,D3Gac,69,54.5,10.67,75.33,60
B1R2,2,Harvest,33.921,D3Gac,69,57,11.24,75.67,60
B1R2,3,Harvest,44.926,D3Gac,69,51.5,10.58,75.98,60
B1R3,1,Harvest,50.113,D3Gac,47,52,8.71,52.66,60
B1R3,2,Harvest,47.283,D3Gac,47,57,8.71,52.89,60
B1R3,3,Harvest,37.123,D3Gac,47,57,8.76,52.14,60
B1R4,1,Harvest,49.545,D3Gac,47,53,8.05,51.76,60
