Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B1R4,1,Harvest,0.005824474,Cyanindin-3-glucoside,C3G,1
B1R4,2,Harvest,0.005891849,Cyanindin-3-glucoside,C3G,1
B1R4,3,Harvest,0.005939869,Cyanindin-3-glucoside,C3G,1
B1R4,1,1st point,0.006378266,Cyanindin-3-glucoside,C3G,1
B1R4,2,1st point,0.006506194,Cyanindin-3-glucoside,C3G,1
B1R4,3,1st point,0.005574113,Cyanindin-3-glucoside,C3G,1
B1R4,1,Harvest,0.02727517,Petunidin-3-glucoside,Pet3G,1
B1R4,2,Harvest,0.027535427,Petunidin-3-glucoside,Pet3G,1
B1R4,3,Harvest,0.027763865,Petunidin-3-glucoside,Pet3G,1
B1R4,1,1st point,0.014874046,Petunidin-3-glucoside,Pet3G,1
B1R4,2,1st point,0.015305745,Petunidin-3-glucoside,Pet3G,1
B1R4,3,1st point,0.012441924,Petunidin-3-glucoside,Pet3G,1
B1R4,1,Harvest,0.022726665,Peonidin-3-glucoside,Peo3G,1
B1R4,2,Harvest,0.024671458,Peonidin-3-glucoside,Peo3G,1
B1R4,3,Harvest,0.024533145,Peonidin-3-glucoside,Peo3G,1
B1R4,1,1st point,0.016741692,Peonidin-3-glucoside,Peo3G,1
B1R4,2,1st point,0.016574567,Peonidin-3-glucoside,Peo3G,1
B1R4,3,1st point,0.014196182,Peonidin-3-glucoside,Peo3G,1
B1R4,1,Harvest,0.171399076,Malvidin-3-glucoside,M3G,1
B1R4,2,Harvest,0.174368742,Malvidin-3-glucoside,M3G,1
B1R4,3,Harvest,0.173895734,Malvidin-3-glucoside,M3G,1
B1R4,1,1st point,0.068369194,Malvidin-3-glucoside,M3G,1
B1R4,2,1st point,0.06899016,Malvidin-3-glucoside,M3G,1
B1R4,3,1st point,0.058083297,Malvidin-3-glucoside,M3G,1
B1R4,1,Harvest,0.009676907,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R4,2,Harvest,0.010104314,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R4,3,Harvest,0.009930836,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R4,1,1st point,0.006815358,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R4,2,1st point,0.007273262,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R4,3,1st point,0.006322354,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1
B1R4,1,Harvest,0.002698112,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R4,2,Harvest,0.002874685,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R4,3,Harvest,0.002934972,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R4,1,1st point,0.002994399,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
B1R4,2,1st point,0.003070952,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1
