Sample,Rep,Set,percentage_antho,Antho_type,Antho_short_name,treatment,Concentration_mg_berry
B1R4,1,Harvest,8.23,Delphinidin-3-glucoside,D3G,1,0.035400647
B1R4,2,Harvest,8.04,Delphinidin-3-glucoside,D3G,1,0.036049866
B1R4,3,Harvest,7.95,Delphinidin-3-glucoside,D3G,1,0.035137204
B1R4,1,1st point,9.15,Delphinidin-3-glucoside,D3G,1,0.019798834
B1R4,2,1st point,9.45,Delphinidin-3-glucoside,D3G,1,0.020966365
B1R4,3,1st point,8.76,Delphinidin-3-glucoside,D3G,1,0.016400893
B1R4,1,Harvest,1.35,Cyanindin-3-glucoside,C3G,1,0.005824474
B1R4,2,Harvest,1.31,Cyanindin-3-glucoside,C3G,1,0.005891849
B1R4,3,Harvest,1.34,Cyanindin-3-glucoside,C3G,1,0.005939869
B1R4,1,1st point,2.95,Cyanindin-3-glucoside,C3G,1,0.006378266
B1R4,2,1st point,2.93,Cyanindin-3-glucoside,C3G,1,0.006506194
B1R4,3,1st point,2.98,Cyanindin-3-glucoside,C3G,1,0.005574113
B1R4,1,Harvest,6.34,Petunidin-3-glucoside,Pet3G,1,0.02727517
B1R4,2,Harvest,6.14,Petunidin-3-glucoside,Pet3G,1,0.027535427
B1R4,3,Harvest,6.28,Petunidin-3-glucoside,Pet3G,1,0.027763865
B1R4,1,1st point,6.87,Petunidin-3-glucoside,Pet3G,1,0.014874046
B1R4,2,1st point,6.9,Petunidin-3-glucoside,Pet3G,1,0.015305745
B1R4,3,1st point,6.64,Petunidin-3-glucoside,Pet3G,1,0.012441924
B1R4,1,Harvest,5.28,Peonidin-3-glucoside,Peo3G,1,0.022726665
B1R4,2,Harvest,5.51,Peonidin-3-glucoside,Peo3G,1,0.024671458
B1R4,3,Harvest,5.55,Peonidin-3-glucoside,Peo3G,1,0.024533145
B1R4,1,1st point,7.73,Peonidin-3-glucoside,Peo3G,1,0.016741692
B1R4,2,1st point,7.47,Peonidin-3-glucoside,Peo3G,1,0.016574567
B1R4,3,1st point,7.58,Peonidin-3-glucoside,Peo3G,1,0.014196182
B1R4,1,Harvest,39.86,Malvidin-3-glucoside,M3G,1,0.171399076
B1R4,2,Harvest,38.91,Malvidin-3-glucoside,M3G,1,0.174368742
B1R4,3,Harvest,39.33,Malvidin-3-glucoside,M3G,1,0.173895734
B1R4,1,1st point,31.58,Malvidin-3-glucoside,M3G,1,0.068369194
B1R4,2,1st point,31.09,Malvidin-3-glucoside,M3G,1,0.06899016
B1R4,3,1st point,31.02,Malvidin-3-glucoside,M3G,1,0.058083297
B1R4,1,Harvest,2.25,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.009676907
B1R4,2,Harvest,2.25,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.010104314
B1R4,3,Harvest,2.25,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.009930836
B1R4,1,1st point,3.15,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.006815358
B1R4,2,1st point,3.28,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.007273262
B1R4,3,1st point,3.38,Delphinidin-3-(6-acetyl) glucoside,D3Gac,1,0.006322354
B1R4,1,Harvest,0.63,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002698112
B1R4,2,Harvest,0.64,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002874685
B1R4,3,Harvest,0.66,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002934972
B1R4,1,1st point,1.38,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002994399
B1R4,2,1st point,1.38,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.003070952
B1R4,3,1st point,1.6,Cyanindin-3-(6-acetyl) glucoside,C3Gac,1,0.002996348
B1R4,1,Harvest,2.63,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.011316775
B1R4,2,Harvest,2.65,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.011892275
B1R4,3,Harvest,2.64,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.011653478
B1R4,1,1st point,3.81,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.008253103
B1R4,2,1st point,3.96,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.008778678
B1R4,3,1st point,4.04,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,1,0.007570406
B1R4,1,Harvest,2.79,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.012014461
B1R4,2,Harvest,3,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.013459236
B1R4,3,Harvest,2.99,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.013230759
B1R4,1,1st point,4.37,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.009461985
B1R4,2,1st point,4.38,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.009720798
B1R4,3,1st point,4.59,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,1,0.008597413
B1R4,1,Harvest,23.94,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.102953123
B1R4,2,Harvest,24.2,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.108427744
B1R4,3,Harvest,23.98,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.106041185
B1R4,1,1st point,22.1,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.047829155
B1R4,2,1st point,22.35,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.049587811
B1R4,3,1st point,22.44,Malvidin-3-(6-acetyl) glucoside,M3Gac,1,0.042026703
B1R4,1,Harvest,1.43,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.006142674
B1R4,2,Harvest,1.61,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.007220859
B1R4,3,Harvest,1.58,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.006983719
B1R4,1,1st point,2.57,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.005561767
B1R4,2,1st point,2.53,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.005606622
B1R4,3,1st point,2.63,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,1,0.00492672
B1R4,1,Harvest,5.26,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.022608126
B1R4,2,Harvest,5.72,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.025631343
B1R4,3,Harvest,5.45,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.024088454
B1R4,1,1st point,4.34,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.009385228
B1R4,2,1st point,4.28,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.009502895
B1R4,3,1st point,4.33,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,1,0.00811236
B2R1,1,Harvest,7.02,Delphinidin-3-glucoside,D3G,2,0.041848013
B2R1,2,Harvest,6.5,Delphinidin-3-glucoside,D3G,2,0.035423033
B2R1,3,Harvest,6.93,Delphinidin-3-glucoside,D3G,2,0.039961257
B2R1,1,1st point,7.16,Delphinidin-3-glucoside,D3G,2,0.015190719
B2R1,2,1st point,6.8,Delphinidin-3-glucoside,D3G,2,0.015167081
B2R1,3,1st point,7.15,Delphinidin-3-glucoside,D3G,2,0.01683911
B2R1,1,Harvest,1.1,Cyanindin-3-glucoside,C3G,2,0.006579938
B2R1,2,Harvest,1.08,Cyanindin-3-glucoside,C3G,2,0.005909628
B2R1,3,Harvest,1.01,Cyanindin-3-glucoside,C3G,2,0.005819555
B2R1,1,1st point,2.26,Cyanindin-3-glucoside,C3G,2,0.004788313
B2R1,2,1st point,2,Cyanindin-3-glucoside,C3G,2,0.004448899
B2R1,3,1st point,2.11,Cyanindin-3-glucoside,C3G,2,0.004978109
B2R1,1,Harvest,5.4,Petunidin-3-glucoside,Pet3G,2,0.032143698
B2R1,2,Harvest,5.25,Petunidin-3-glucoside,Pet3G,2,0.02863072
B2R1,3,Harvest,5.49,Petunidin-3-glucoside,Pet3G,2,0.031647264
B2R1,1,1st point,5.71,Petunidin-3-glucoside,Pet3G,2,0.012127329
B2R1,2,1st point,5.57,Petunidin-3-glucoside,Pet3G,2,0.012417042
B2R1,3,1st point,5.74,Petunidin-3-glucoside,Pet3G,2,0.013518491
B2R1,1,Harvest,5.05,Peonidin-3-glucoside,Peo3G,2,0.030108466
B2R1,2,Harvest,4.99,Peonidin-3-glucoside,Peo3G,2,0.027222703
B2R1,3,Harvest,4.98,Peonidin-3-glucoside,Peo3G,2,0.028727773
B2R1,1,1st point,6.51,Peonidin-3-glucoside,Peo3G,2,0.013809643
B2R1,2,1st point,6.33,Peonidin-3-glucoside,Peo3G,2,0.014111293
B2R1,3,1st point,6.5,Peonidin-3-glucoside,Peo3G,2,0.015303784
B2R1,1,Harvest,41.38,Malvidin-3-glucoside,M3G,2,0.246549254
B2R1,2,Harvest,41.42,Malvidin-3-glucoside,M3G,2,0.22573831
B2R1,3,Harvest,41.34,Malvidin-3-glucoside,M3G,2,0.238312298
B2R1,1,1st point,34.11,Malvidin-3-glucoside,M3G,2,0.072391498
B2R1,2,1st point,33.81,Malvidin-3-glucoside,M3G,2,0.07538934
B2R1,3,1st point,33.76,Malvidin-3-glucoside,M3G,2,0.079541005
B2R1,1,Harvest,1.67,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.009932913
B2R1,2,Harvest,1.64,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.008953171
B2R1,3,Harvest,1.7,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.009817577
B2R1,1,1st point,2.4,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.005093954
B2R1,2,1st point,2.36,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.005273411
B2R1,3,1st point,2.42,Delphinidin-3-(6-acetyl) glucoside,D3Gac,2,0.005703374
B2R1,1,Harvest,0.47,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002815416
B2R1,2,Harvest,0.53,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002886516
B2R1,3,Harvest,0.49,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002800744
B2R1,1,1st point,1.17,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002482421
B2R1,2,1st point,1.17,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.002606259
B2R1,3,1st point,1.16,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2,0.00273915
B2R1,1,Harvest,2.12,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.012620436
B2R1,2,Harvest,2.1,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.011421865
B2R1,3,Harvest,2.19,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.012629292
B2R1,1,1st point,3.25,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.006892268
B2R1,2,1st point,3.26,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.007271684
B2R1,3,1st point,3.32,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2,0.00781885
B2R1,1,Harvest,2.66,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.015845923
B2R1,2,Harvest,2.66,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.014507245
B2R1,3,Harvest,2.69,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.015494357
B2R1,1,1st point,4.08,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.008651864
B2R1,2,1st point,4.39,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2,0.009790608
